ticker,n_obs,first_date,last_date,missing_frac,stale_frac,n_extreme,status
LTIM.NS,0,,,1.0,,0,download_failed
TATAMOTORS.NS,0,,,1.0,,0,download_failed
ABB.NS,2581,2015-01-02,2025-06-27,0.0,0.0019,0,ok
ACC.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
ADANIENT.NS,2581,2015-01-02,2025-06-27,0.0,0.0039,0,ok
ADANIPORTS.NS,2581,2015-01-02,2025-06-27,0.0,0.0062,0,ok
ALKEM.NS,2343,2015-12-23,2025-06-27,0.0,0.003,0,ok
AMBUJACEM.NS,2581,2015-01-02,2025-06-27,0.0,0.0058,0,ok
APOLLOHOSP.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
ASHOKLEY.NS,2581,2015-01-02,2025-06-27,0.0,0.0112,0,ok
ASIANPAINT.NS,2581,2015-01-02,2025-06-27,0.0,0.0023,0,ok
AUBANK.NS,1964,2017-07-11,2025-06-27,0.0,0.0025,0,ok
AUROPHARMA.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
AXISBANK.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
BAJAJ-AUTO.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
BAJAJFINSV.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
BAJFINANCE.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
BALKRISIND.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
BANKBARODA.NS,2581,2015-01-02,2025-06-27,0.0,0.0066,0,ok
BEL.NS,2581,2015-01-02,2025-06-27,0.0,0.0054,0,ok
BERGEPAINT.NS,2581,2015-01-02,2025-06-27,0.0,0.005,0,ok
BHARTIARTL.NS,2581,2015-01-02,2025-06-27,0.0,0.0023,0,ok
BHEL.NS,2581,2015-01-02,2025-06-27,0.0,0.0147,0,ok
BIOCON.NS,2581,2015-01-02,2025-06-27,0.0,0.0023,0,ok
BOSCHLTD.NS,2581,2015-01-02,2025-06-27,0.0,0.0012,0,ok
BPCL.NS,2581,2015-01-02,2025-06-27,0.0,0.0043,0,ok
BRITANNIA.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
CANBK.NS,2581,2015-01-02,2025-06-27,0.0,0.005,0,ok
CHOLAFIN.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
CIPLA.NS,2581,2015-01-02,2025-06-27,0.0,0.0043,0,ok
COALINDIA.NS,2581,2015-01-02,2025-06-27,0.0,0.0093,0,ok
COFORGE.NS,2581,2015-01-02,2025-06-27,0.0,0.0019,0,ok
COLPAL.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
CONCOR.NS,2581,2015-01-02,2025-06-27,0.0,0.0035,0,ok
CUMMINSIND.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
DABUR.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
DEEPAKNTR.NS,2581,2015-01-02,2025-06-27,0.0,0.0043,0,ok
DIVISLAB.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
DLF.NS,2581,2015-01-02,2025-06-27,0.0,0.0066,0,ok
DMART.NS,2040,2017-03-21,2025-06-27,0.0,0.001,0,ok
DRREDDY.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
EICHERMOT.NS,2581,2015-01-02,2025-06-27,0.0,0.0012,0,ok
FEDERALBNK.NS,2581,2015-01-02,2025-06-27,0.0,0.012,0,ok
GAIL.NS,2581,2015-01-02,2025-06-27,0.0,0.005,0,ok
GODREJCP.NS,2581,2015-01-02,2025-06-27,0.0,0.0019,0,ok
GODREJPROP.NS,2581,2015-01-02,2025-06-27,0.0,0.0031,0,ok
GRASIM.NS,2581,2015-01-02,2025-06-27,0.0,0.0019,0,ok
HAVELLS.NS,2581,2015-01-02,2025-06-27,0.0,0.0023,0,ok
HCLTECH.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
HDFCAMC.NS,1697,2018-08-06,2025-06-27,0.0,0.0012,0,ok
HDFCBANK.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
HDFCLIFE.NS,1875,2017-11-17,2025-06-27,0.0,0.0032,0,ok
HEROMOTOCO.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
HINDALCO.NS,2581,2015-01-02,2025-06-27,0.0,0.0058,0,ok
HINDPETRO.NS,2581,2015-01-02,2025-06-27,0.0,0.0031,0,ok
HINDUNILVR.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
HINDZINC.NS,2581,2015-01-02,2025-06-27,0.0,0.0074,0,ok
ICICIBANK.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
ICICIGI.NS,1910,2017-09-27,2025-06-27,0.0,0.0031,0,ok
ICICIPRULI.NS,2156,2016-09-29,2025-06-27,0.0,0.0042,0,ok
IDEA.NS,2581,2015-01-02,2025-06-27,0.0,0.0527,0,ok
IDFCFIRSTB.NS,2373,2015-11-06,2025-06-27,0.0,0.0257,0,ok
INDIGO.NS,2371,2015-11-10,2025-06-27,0.0,0.0008,0,ok
INDUSINDBK.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
INDUSTOWER.NS,2581,2015-01-02,2025-06-27,0.0,0.005,0,ok
INFY.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
IOC.NS,2581,2015-01-02,2025-06-27,0.0,0.0089,0,ok
IRCTC.NS,1412,2019-10-14,2025-06-27,0.0,0.0021,0,ok
ITC.NS,2581,2015-01-02,2025-06-27,0.0,0.0039,0,ok
JINDALSTEL.NS,2581,2015-01-02,2025-06-27,0.0,0.0054,0,ok
JSWSTEEL.NS,2581,2015-01-02,2025-06-27,0.0,0.0035,0,ok
KOTAKBANK.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
LT.NS,2581,2015-01-02,2025-06-27,0.0,0.0004,0,ok
LUPIN.NS,2581,2015-01-02,2025-06-27,0.0,0.0019,0,ok
M&M.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
MARICO.NS,2581,2015-01-02,2025-06-27,0.0,0.0031,0,ok
MARUTI.NS,2581,2015-01-02,2025-06-27,0.0,0.0012,0,ok
MOTHERSON.NS,2581,2015-01-02,2025-06-27,0.0,0.007,0,ok
MPHASIS.NS,2581,2015-01-02,2025-06-27,0.0,0.0019,0,ok
MUTHOOTFIN.NS,2581,2015-01-02,2025-06-27,0.0,0.0035,0,ok
NAUKRI.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
NESTLEIND.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
NHPC.NS,2581,2015-01-02,2025-06-27,0.0,0.0543,0,ok
NMDC.NS,2581,2015-01-02,2025-06-27,0.0,0.0112,0,ok
NTPC.NS,2581,2015-01-02,2025-06-27,0.0,0.0143,0,ok
OBEROIRLTY.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
OFSS.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
ONGC.NS,2581,2015-01-02,2025-06-27,0.0,0.007,0,ok
PAGEIND.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
PAYTM.NS,892,2021-11-18,2025-06-27,0.0,0.0045,0,ok
PERSISTENT.NS,2581,2015-01-02,2025-06-27,0.0,0.0023,0,ok
PETRONET.NS,2581,2015-01-02,2025-06-27,0.0,0.0058,0,ok
PFC.NS,2581,2015-01-02,2025-06-27,0.0,0.0062,0,ok
PIDILITIND.NS,2581,2015-01-02,2025-06-27,0.0,0.0004,0,ok
PNB.NS,2581,2015-01-02,2025-06-27,0.0,0.0147,0,ok
POWERGRID.NS,2581,2015-01-02,2025-06-27,0.0,0.0089,0,ok
RBLBANK.NS,2175,2016-08-31,2025-06-27,0.0,0.0041,0,ok
RECLTD.NS,2581,2015-01-02,2025-06-27,0.0,0.0058,0,ok
RELIANCE.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
SAIL.NS,2581,2015-01-02,2025-06-27,0.0,0.0167,0,ok
SBILIFE.NS,1907,2017-10-03,2025-06-27,0.0,0.0021,0,ok
SBIN.NS,2581,2015-01-02,2025-06-27,0.0,0.0043,0,ok
SHREECEM.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
SIEMENS.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
SRF.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
SUNPHARMA.NS,2581,2015-01-02,2025-06-27,0.0,0.0019,0,ok
TATACHEM.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
TATACONSUM.NS,2581,2015-01-02,2025-06-27,0.0,0.0058,0,ok
TATAPOWER.NS,2581,2015-01-02,2025-06-27,0.0,0.012,0,ok
TATASTEEL.NS,2581,2015-01-02,2025-06-27,0.0,0.005,0,ok
TCS.NS,2581,2015-01-02,2025-06-27,0.0,0.0016,0,ok
TECHM.NS,2581,2015-01-02,2025-06-27,0.0,0.0012,0,ok
TITAN.NS,2581,2015-01-02,2025-06-27,0.0,0.0031,0,ok
TORNTPHARM.NS,2581,2015-01-02,2025-06-27,0.0,0.0012,0,ok
TORNTPOWER.NS,2581,2015-01-02,2025-06-27,0.0,0.005,0,ok
TRENT.NS,2581,2015-01-02,2025-06-27,0.0,0.0027,0,ok
TVSMOTOR.NS,2581,2015-01-02,2025-06-27,0.0,0.0031,0,ok
ULTRACEMCO.NS,2581,2015-01-02,2025-06-27,0.0,0.0008,0,ok
UNITDSPR.NS,2581,2015-01-02,2025-06-27,0.0,0.0023,0,ok
UPL.NS,2581,2015-01-02,2025-06-27,0.0,0.0031,0,ok
VEDL.NS,2581,2015-01-02,2025-06-27,0.0,0.0062,0,ok
VOLTAS.NS,2581,2015-01-02,2025-06-27,0.0,0.0043,0,ok
WIPRO.NS,2581,2015-01-02,2025-06-27,0.0,0.005,0,ok
ZEEL.NS,2581,2015-01-02,2025-06-27,0.0,0.0043,0,ok
