year,model,RMSE,MAE,QLIKE,R2,n
2018,LightGBM,0.10989,0.07577,0.27428,0.14225,1432
2018,EWMA(0.94),0.11726,0.085,0.2536,0.02322,1432
2018,RandomWalk,0.1295,0.09371,0.33083,-0.19126,1432
2019,LightGBM,0.12058,0.0764,0.24986,0.29674,1442
2019,EWMA(0.94),0.12651,0.09026,0.27839,0.22588,1442
2019,RandomWalk,0.13493,0.09549,0.35895,0.11945,1442
2020,LightGBM,0.21419,0.1258,0.51516,0.18912,1452
2020,EWMA(0.94),0.2471,0.16845,0.74701,-0.07915,1452
2020,RandomWalk,0.2533,0.17161,0.80931,-0.13396,1452
2021,LightGBM,0.11004,0.07195,0.22274,0.32736,1452
2021,EWMA(0.94),0.12859,0.08796,0.27576,0.08146,1452
2021,RandomWalk,0.14033,0.09612,0.36563,-0.09396,1452
2022,LightGBM,0.09585,0.06976,0.22007,0.23414,1464
2022,EWMA(0.94),0.10731,0.07906,0.21563,0.04004,1464
2022,RandomWalk,0.11579,0.08602,0.28489,-0.11763,1464
2023,LightGBM,0.10326,0.06515,0.27002,0.2001,1464
2023,EWMA(0.94),0.10367,0.06699,0.26297,0.19373,1464
2023,RandomWalk,0.11403,0.07473,0.34331,0.02457,1464
2024,LightGBM,0.11324,0.07551,0.26801,0.23282,1464
2024,EWMA(0.94),0.13287,0.0921,0.34233,-0.05627,1464
2024,RandomWalk,0.15405,0.10623,0.45648,-0.4198,1464
2025,LightGBM,0.09878,0.07255,0.17693,0.09721,488
2025,EWMA(0.94),0.09904,0.0716,0.17607,0.09252,488
2025,RandomWalk,0.1138,0.08359,0.22264,-0.19807,488
