,mean_gain
ewma_97,2331.7478263322264
rv_126,1738.7961327079684
rv_252,1306.0401205644011
mkt_ret_21,1212.1968317711726
vix_chg_21,1154.5971407210454
parkinson_63,827.403794969432
vix,609.7033997513354
mkt_rv_63,593.9609571723267
mkt_rv_21,497.34938370250165
drawdown,461.5106211537495
ewma_94,410.0383467897773
parkinson_21,398.45906294323504
beta_252,392.1543032731861
ret_63,371.34791870228946
log_turnover,313.3642853498459
rv_63,278.0447253594175
vol_of_vol,269.92091516498476
gk_21,246.78393836226314
vol_trend_21,245.4145052358508
rs_21,238.62947175931185
vol_ratio_21_252,234.87635475676507
abs_ret_5,234.79263119306415
turnover_z,230.97524949535728
ret_21,228.9698429685086
vol_ratio_5_63,167.112670912873
rv_21,153.07820090465248
rv_5,150.31830176711082
neg_ret_21,80.57661502994597
downside_frac_21,67.58414477668703
